@ TYPE             %05s "TWISS"
@ TITLE            %09s "CNAO SYNC"
@ ORIGIN           %18s "5.03.04 Windows 64"
@ DATE             %08s "11/09/17"
@ TIME             %08s "16.08.31"
* CyCo BP EdipInj EdipExtr S2kinj s2kextr S3kinj s3kextr S4kinj s4kextr S6 S8 S9 S0_29Acc S0_29FT S2_08Acc S2_08FT SC_08Acc SC_08FT SC_21Acc SC_21FT SE_16Acc SE_16FT BumpVert S4_08Acc S4_08FT S6_14Acc S6_14FT S8_08Acc S8_08FT S8_35Acc S8_35FT SA_08Acc SA_08FT
$ %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le %le
61 132 7.134663 260.0025444 0.473965021 0.49773 0.346782976 0.310450812678557 0.520215144 0.533687262620396 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
62 134 7.134663 262.2941726 0.473795281 0.49773 0.347055922 0.310489503166009 0.520235579 0.533701910836738 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
63 136 7.134663 264.5730313 0.473626847 0.49773 0.347326769 0.310506941584407 0.520255857 0.533708815864926 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
64 138 7.134663 266.8394895 0.473459691 0.49773 0.34759556 0.310544104735922 0.520275981 0.533722845279294 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
65 140 7.134663 269.0939039 0.473293789 0.49773 0.347862335 0.310561002222321 0.520295954 0.533729503816825 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
66 142 7.134663 271.3366185 0.473129114 0.49773 0.348127136 0.310614958401811 0.520315779 0.533778686325926 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
67 144 7.134663 273.5679654 0.472965643 0.49773 0.348390001 0.310631554045812 0.52033546 0.533785137931738 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
68 146 7.134663 275.788265 0.472803352 0.49773 0.34865097 0.310648318056661 0.520354998 0.533791644855799 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
69 148 7.134663 277.9978258 0.472642215 0.49773 0.348910082 0.310664505882288 0.520374398 0.533797929254486 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
70 150 7.134663 280.1969452 0.472482211 0.49773 0.349167374 0.310680748812654 0.520393661 0.533804136678947 96 1.66921457143512 1.50797090194301 -1.8648311 -1.999999996 0.6311951 0.330134533 0.589358 -1.999999984 -1.9651058 0.166232685 0.9895835 -0.523763824 -0.5 0 0.591116089 0 -0.13363696 0 -0.003973532 0 0.418554394 0 -1.30834616
